puzzle,current_name,legacy_names,current_key,current_point,best_transform_index,best_point,point_delta,best_existing_key,best_effect_name,proposed_source_name,moved_count,orientation_count,move_count,moves
rubiks-7,CtrObl3[F@2L.3U>R@2B.3D>U@3R.2B],,CtrObl3[F@2L.3U>R@2B.3D>U@3R.2B]#00,4900,0,4900,0,CtrObl3[F@2L.3U>R@2B.3D>U@3R.2B]#00,CtrObl3[F@2L.3U>R@2B.3D>U@3R.2B],CtrObl3[F@2L.3U>R@2B.3D>U@3R.2B],3,0,10,R 3U' 2F' U2 2F 3U 2F' U2 2F R'
rubiks-7,CtrObl3[F@2L.3U>R@2F.3U>L@2B.3U],,CtrObl3[F@2L.3U>R@2F.3U>L@2B.3U]#00,5600,0,5600,0,CtrObl3[F@2L.3U>R@2F.3U>L@2B.3U]#00,CtrObl3[F@2L.3U>R@2F.3U>L@2B.3U],CtrObl3[F@2L.3U>R@2F.3U>L@2B.3U],3,0,8,3B2 2D F' 2D' 3B2 2D F 2D'
rubiks-7,CtrObl3[F@2L.3U>R@2F.3U>L@2F.3D],,CtrObl3[F@2L.3U>R@2F.3U>L@2F.3D]#00,5500,0,5500,0,CtrObl3[F@2L.3U>R@2F.3U>L@2F.3D]#00,CtrObl3[F@2L.3U>R@2F.3U>L@2F.3D],CtrObl3[F@2L.3U>R@2F.3U>L@2F.3D],3,0,10,2L2 2U2 L 3D L' 2U2 L 3D' 2L2 L'
rubiks-7,CtrObl3[F@2L.3U>R@2F.3U>L@3F.2U],,CtrObl3[F@2L.3U>R@2F.3U>L@3F.2U]#00,5600,0,5600,0,CtrObl3[F@2L.3U>R@2F.3U>L@3F.2U]#00,CtrObl3[F@2L.3U>R@2F.3U>L@3F.2U],CtrObl3[F@2L.3U>R@2F.3U>L@3F.2U],3,0,11,2L2 L 2U2 L 3D L' 2U2 L 3D' 2L2 L2
rubiks-7,CtrObl3[F@2L.3U>R@2F.3U>U@3L.2F],,CtrObl3[F@2L.3U>R@2F.3U>U@3L.2F]#00,5000,0,5000,0,CtrObl3[F@2L.3U>R@2F.3U>U@3L.2F]#00,CtrObl3[F@2L.3U>R@2F.3U>U@3L.2F],CtrObl3[F@2L.3U>R@2F.3U>U@3L.2F],3,0,10,F' 3L 2D R2 2D' 3L' 2D R2 2D' F
rubiks-7,CtrObl3[F@2L.3U>R@2F.3U>U@3R.2B],,CtrObl3[F@2L.3U>R@2F.3U>U@3R.2B]#00,5000,0,5000,0,CtrObl3[F@2L.3U>R@2F.3U>U@3R.2B]#00,CtrObl3[F@2L.3U>R@2F.3U>U@3R.2B],CtrObl3[F@2L.3U>R@2F.3U>U@3R.2B],3,0,10,R' 3U' 2F' U2 2F 3U 2F' U2 2F R
rubiks-7,CtrObl3[F@2L.3U>R@3B.2U>F@2R.3D],,CtrObl3[F@2L.3U>R@3B.2U>F@2R.3D]#00,3700,0,3700,0,CtrObl3[F@2L.3U>R@3B.2U>F@2R.3D]#00,CtrObl3[F@2L.3U>R@3B.2U>F@2R.3D],CtrObl3[F@2L.3U>R@3B.2U>F@2R.3D],3,0,8,F2 3U 2B2 3U' F2 3U 2B2 3U'
rubiks-7,CtrObl3[F@2L.3U>R@3B.2U>U@2L.3B],,CtrObl3[F@2L.3U>R@3B.2U>U@2L.3B]#00,5000,0,5000,0,CtrObl3[F@2L.3U>R@3B.2U>U@2L.3B]#00,CtrObl3[F@2L.3U>R@3B.2U>U@2L.3B],CtrObl3[F@2L.3U>R@3B.2U>U@2L.3B],3,0,8,2L 3U' R2 3U 2L' 3U' R2 3U
rubiks-7,CtrObl3[F@2L.3U>R@3B.2U>U@2R.3F],,CtrObl3[F@2L.3U>R@3B.2U>U@2R.3F]#00,5000,0,5000,0,CtrObl3[F@2L.3U>R@3B.2U>U@2R.3F]#00,CtrObl3[F@2L.3U>R@3B.2U>U@2R.3F],CtrObl3[F@2L.3U>R@3B.2U>U@2R.3F],3,0,10,F2 2R' B 3D' B' 2R B 3D B' F2
rubiks-7,CtrObl3[F@2L.3U>R@3B.2U>U@3R.2B],,CtrObl3[F@2L.3U>R@3B.2U>U@3R.2B]#00,5000,0,5000,0,CtrObl3[F@2L.3U>R@3B.2U>U@3R.2B]#00,CtrObl3[F@2L.3U>R@3B.2U>U@3R.2B],CtrObl3[F@2L.3U>R@3B.2U>U@3R.2B],3,0,8,3D' F2 3D 2B' 3D' F2 3D 2B
rubiks-7,CtrObl3[F@2L.3U>U@2L.3B>R@2F.3U],,CtrObl3[F@2L.3U>U@2L.3B>R@2F.3U]#00,5000,0,5000,0,CtrObl3[F@2L.3U>U@2L.3B>R@2F.3U]#00,CtrObl3[F@2L.3U>U@2L.3B>R@2F.3U],CtrObl3[F@2L.3U>U@2L.3B>R@2F.3U],3,0,8,2L' D 3B D' 2L D 3B' D'
rubiks-7,CtrObl3[F@2L.3U>U@2L.3B>R@3B.2U],,CtrObl3[F@2L.3U>U@2L.3B>R@3B.2U]#00,5000,0,5000,0,CtrObl3[F@2L.3U>U@2L.3B>R@3B.2U]#00,CtrObl3[F@2L.3U>U@2L.3B>R@3B.2U],CtrObl3[F@2L.3U>U@2L.3B>R@3B.2U],3,0,8,3U' R2 3U 2L 3U' R2 3U 2L'
